ID,开仓时间,符号,量,方,收盘时间,开仓价,收盘价,止损,止盈,掉期,佣金,净利润
M165099989351141,2022-05-06T12:39:46.942,US30,5.00,BUY,2022-05-06T12:56:23.71,32977,32741,0,0,0.00,0.00,-1180.00
M165099989348305,2022-05-06T01:39:30.212,HKIND,0.01,SELL,2022-05-06T02:41:13.638,20108,20064,0,0,0.00,0.00,0.44
W165099989345673,2022-05-05T14:26:29.949,GER30,30.00,SELL,2022-05-05T17:02:30.129,13990.3,13927.1,13926.6,13757.0,0.00,0.00,1995.46
W165099989346278,2022-05-05T15:21:33.791,GER30,30.00,SELL,2022-05-05T15:54:15.279,13870.3,13832.1,0.0,0.0,0.00,0.00,1204.46
W165099989346114,2022-05-05T15:07:03.518,US30,5.00,SELL,2022-05-05T15:51:26.979,33035,32980,0,0,0.00,0.00,275.00
M165099989341275,2022-05-05T01:07:14.976,WTI,100.00,BUY,2022-05-05T01:53:05.299,108.71,108.06,0.00,0.00,0.00,0.00,-650.00
W165099989337808,2022-05-04T14:04:19.729,XAGUSD,5.00,SELL,2022-05-05T00:14:52.885,22.243,23.035,0.000,22.210,-74.47,0.00,-19874.47
W165099989331615,2022-05-03T08:11:21.039,XAUUSD,10.00,SELL,2022-05-05T00:14:43.784,1854.98,1895.63,0.00,1857.33,-493.60,0.00,-41143.60
M165099989332000,2022-05-03T10:10:02.205,XAUUSD,5.00,SELL,2022-05-05T00:14:43.781,1860.34,1895.57,0.00,1857.33,-246.80,0.00,-17861.80
W165099989331614,2022-05-03T08:11:13.478,XAUUSD,0.01,SELL,2022-05-04T14:50:16.399,1854.74,1866.34,0.00,0.00,-0.25,0.00,-11.85
W165099989336844,2022-05-04T09:42:58.041,WTI,200.00,BUY,2022-05-04T12:35:57.109,105.95,106.47,0.00,106.70,0.00,0.00,1040.00
W165099989337248,2022-05-04T12:01:41.928,ETHUSD,2.00,BUY,2022-05-04T12:13:52.75,2872.84,2863.44,0.00,0.00,0.00,0.00,-18.80
M165099989335516,2022-05-04T01:17:42.163,XAGUSD,2.00,SELL,2022-05-04T05:50:51.568,22.552,22.551,0.000,0.000,0.00,0.00,10.00
M165099989331110,2022-05-03T05:15:01.762,XAUUSD,5.00,SELL,2022-05-03T07:59:01.513,1859.18,1856.61,0.00,0.00,0.00,0.00,1285.00
M165099989330551,2022-05-02T23:19:04.227,ETHUSD,20.00,BUY,2022-05-03T00:03:29.011,2871.93,2856.01,0.00,0.00,-31.91,0.00,-350.31
M165099989324859,2022-05-01T14:15:39.99,ETHUSD,40.00,SELL,2022-05-02T23:20:10.202,2760.74,2871.57,0.00,0.00,-61.35,0.00,-4494.55
W165099989324243,2022-05-01T00:03:29.786,ETHUSD,20.00,SELL,2022-05-02T23:19:21.23,2730.03,2872.90,2890.00,0.00,-30.33,0.00,-2887.73
W165099989325615,2022-05-01T23:57:43.961,US100,40.00,SELL,2022-05-02T12:23:23.171,12878.06,12812.38,0.00,0.00,-42.93,0.00,2584.27
W165099989325800,2022-05-02T01:35:36.117,XAUUSD,2.00,SELL,2022-05-02T03:29:42.017,1892.47,1888.59,0.00,0.00,0.00,0.00,776.00
W165099989322393,2022-04-29T18:18:21.489,US100,20.00,SELL,2022-04-29T19:12:11.064,13041.72,12957.62,13401.00,12230.00,0.00,0.00,1682.00
W165099989322532,2022-04-29T18:43:13.076,US30,5.00,SELL,2022-04-29T19:12:07.414,33192,33116,33555,33000,0.00,0.00,380.00
W165099989317083,2022-04-29T05:19:15.118,WTI,10.00,BUY,2022-04-29T14:26:17.879,106.10,107.52,103.00,107.50,0.00,0.00,142.00
W165099989312711,2022-04-28T13:33:25.967,GER30,10.00,SELL,2022-04-28T14:33:12.164,13985.0,13849.7,14102.0,13850.0,0.00,0.00,1420.99
W165099989312579,2022-04-28T13:13:35.76,GER30,10.00,SELL,2022-04-28T13:32:02.473,14018.3,13998.1,14150.0,13900.0,0.00,0.00,212.12
W165099989310261,2022-04-28T07:32:08.408,US500,10.00,BUY,2022-04-28T13:32:00.318,4245.2,4228.8,4200.0,4300.0,0.00,0.00,-164.00
W16509998939829,2022-04-28T06:58:41.741,US30,1.00,BUY,2022-04-28T07:18:59.592,33451,33465,0,33465,0.00,0.00,14.00
W16509998939525,2022-04-28T06:19:49.514,WTI,1.00,BUY,2022-04-28T06:25:40.698,101.11,101.22,0.00,101.42,0.00,0.00,1.10
W16509998939234,2022-04-28T05:43:07.281,GER30,1.00,BUY,2022-04-28T05:44:49.291,13860.2,13854.8,0.0,0.0,0.00,0.00,-5.66
